Cümle,Tür,,Cümle ,Tür
Bence o restorandaki yemekler çok lezzetli. ,Öznel,,"Albert Einstein, 1921 yılında Nobel Fizik Ödülü’nü kazandı. ",Nesnel
Kitabın sonu oldukça hayal kırıklığıydı. ,Öznel,, Dünya'nın uydusu Ay’dır. ,Nesnel
Hava bugün fazlasıyla bunaltıcı. ,Öznel,, Türkiye'nin başkenti Ankara’dır. ,Nesnel
Şu elbise ona hiç yakışmamış. ,Öznel,, Su 100°C'de kaynamaya başlar. ,Nesnel
Bu müzik türü insanı çok rahatlatıyor. ,Öznel,, Atatürk 1881 yılında doğmuştur. ,Nesnel
Tatilde deniz yerine dağlara gitmek daha huzurlu. ,Öznel,," İstanbul, Türkiye'nin en kalabalık şehridir. ",Nesnel
Öğretmenin sesi çok yorucu geliyor. ,Öznel,, 1 saat 60 dakikadır. ,Nesnel
Kahve sabahları içilmesi gereken en güzel içecek. ,Öznel,," Paris, Fransa'nın başkentidir. ",Nesnel
Bu tablo gerçekten çok etkileyici. ,Öznel,, Matematikte üçgenin iç açılarının toplamı 180°'dir. ,Nesnel
Bu kadar renkli bir oda insanın başını ağrıtır. ,Öznel,," Güneş doğudan doğar, batıdan batar. ",Nesnel
Şarkıcının sesi bana göre çok itici. ,Öznel,, Türkiye 29 Ekim 1923’te cumhuriyet olmuştur. ,Nesnel
Bu filmdeki oyunculuklar oldukça vasattı. ,Öznel,, Elma ağaçta yetişen bir meyvedir. ,Nesnel
Onun yazı dili fazla sade ve sıkıcı. ,Öznel,," DNA, hücredeki genetik bilgiyi taşır. ",Nesnel
Bu kadar kalabalık bir yerde yaşamak çok stresli. ,Öznel,, 1 kilogram 1000 gramdır. ,Nesnel
Çikolatalı pasta vanilyalıdan daha güzel. ,Öznel,," Amazon, dünyanın en büyük nehri sayılır. ",Nesnel
Bu kitap gereğinden fazla uzatılmış. ,Öznel,, Kedi memeli bir hayvandır. ,Nesnel
Şu kazağın rengi insanın içini açıyor. ,Öznel,,Taksim Meydanı İstanbul’dadır. ,Nesnel
Spor yapmak sabah saatlerinde daha keyifli. ,Öznel,,"Su, hidrojen ve oksijenden oluşur. ",Nesnel
Bence bu diziyi izlemek zaman kaybı. ,Öznel,,Türkiye’de zorunlu eğitim 12 yıldır. ,Nesnel
Bu markanın ayakkabıları hiç konforlu değil. ,Öznel,,"İstanbul Boğazı, Asya ile Avrupa’yı ayırır. ",Nesnel
Otobüsle seyahat etmek uçaktan daha eğlenceli. ,Öznel,,Güneş Sistemi'nde 8 gezegen vardır. ,Nesnel
Bu telefon modeli bana çok hantal geldi. ,Öznel,,"Türkiye, Asya ve Avrupa kıtaları arasında yer alır. ",Nesnel
Bu hikâyede karakterler hiç gerçekçi değil. ,Öznel,,"Kan, vücutta oksijen taşır. ",Nesnel
Filmdeki müzik seçimleri oldukça kötüydü. ,Öznel,,Türkiye’nin para birimi Türk Lirası’dır. ,Nesnel
Tatilin en güzel yanı erken uyanmak zorunda olmamak. ,Öznel,,Kar yağarken hava sıcaklığı genellikle 0°C'nin altındadır. ,Nesnel
Şu an tam kitap okumalık bir hava var. ,Öznel,,"İnternet, küresel bir bilgisayar ağıdır. ",Nesnel
Bu bilgisayar oyunu insanı kolayca bağımlı yapıyor. ,Öznel,,"Fotosentez, bitkilerde klorofil yardımıyla gerçekleşir. ",Nesnel
"Bu parfüm çok ağır, başımı ağrıttı. ",Öznel,,"4 mevsim vardır: ilkbahar, yaz, sonbahar ve kış. ",Nesnel
Bu tarz filmleri hiç sevmem. ,Öznel,,Bir yılda 12 ay vardır. ,Nesnel
Bu ders fazlasıyla sıkıcı geçiyor. ,Öznel,,"Yağmur, bulutların yoğunlaşmasıyla oluşur. ",Nesnel
Bu şarkı bana eski günleri hatırlatıyor. ,Öznel,,Deniz suyu tuzludur. ,Nesnel
Onunla konuşmak her zaman çok keyifli. ,Öznel,,Kitaplar bilgi ve hikaye aktarımını sağlar. ,Nesnel
Yazın tatil yapmak kıştan çok daha iyi. ,Öznel,,Türkiye 81 ilden oluşur. ,Nesnel
Bu telefonun kamerası hiç de beklediğim gibi değil. ,Öznel,,"1 metrekare, 10.000 santimetrekaredir. ",Nesnel
Bu şehir fazla kalabalık ve yorucu. ,Öznel,,İnekler süt üretir. ,Nesnel
Öğrenciler bu yıl yeterince başarılı değildi. ,Öznel,,Dünya'nın çevresi yaklaşık 40.075 kilometredir. ,Nesnel
Bu çanta oldukça demode görünüyor. ,Öznel,,İnsan vücudu 206 kemikten oluşur. ,Nesnel
Filmdeki karakter çok itici bir yapıya sahipti. ,Öznel,,Ay’ın yüzeyinde atmosfer yoktur. ,Nesnel
Sabahları yürüyüş yapmak insanı dinç tutuyor. ,Öznel,,Google 1998 yılında kurulmuştur. ,Nesnel
Bu yemek fazla yağlı olmuş. ,Öznel,,Elektrik enerjisi iletkenler aracılığıyla taşınır. ,Nesnel
Bu yarışmanın sonucu çok adaletsizdi. ,Öznel,,"Lav, yanardağdan çıkan ergimiş kayaçtır. ",Nesnel
Bu kıyafetin deseni fazla göz alıcı. ,Öznel,,"Ankara, İç Anadolu Bölgesi’ndedir. ",Nesnel
Bu kitap sıkılmadan okunuyor. ,Öznel,,Ağaçlar fotosentez yapar. ,Nesnel
Bu şiir beni derinden etkiledi. ,Öznel,,Dünya kendi etrafında döner. ,Nesnel
O sunum çok özensizdi. ,Öznel,,"Helyum, periyodik tabloda bir asal gazdır. ",Nesnel
"Sınav çok zordu, neredeyse hiçbir şey anlamadım. ",Öznel,,Türkiye Akdeniz'e kıyısı olan bir ülkedir. ,Nesnel
Bu tatlı fazla şekerli olmuş. ,Öznel,,"Kalem, yazı yazmak için kullanılan bir araçtır. ",Nesnel
Bence bu kararı almak için erkendi. ,Öznel,,Dünya’nın en yüksek dağı Everest’tir. ,Nesnel
     62  - Yeni müzik albümü beklentilerin çok altında kalmış. ,Öznel,,İnsanlar konuşarak iletişim kurar. ,Nesnel
Bu dizi beni ilk bölümden içine çekti. ,Öznel,,"Göz, görme organıdır. ",Nesnel
Yeni öğretmen çok anlayışlı biri gibi görünüyor. ,Öznel,,Su şeffaf bir sıvıdır. ,Nesnel
O filmin müzikleri ruhuma dokundu. ,Öznel,,İnsan vücudu ortalama 37°C sıcaklıktadır. ,Nesnel
Bu sabah kahvaltı yapmak hiç içimden gelmedi. ,Öznel,,Türkiye dört mevsimi yaşayan bir ülkedir. ,Nesnel
Kitabın kapağı çok estetik tasarlanmış. ,Öznel,,"Bitkiler karbondioksit alır, oksijen verir. ",Nesnel
Tatilin en kötü yanı dönüş yolculuğuydu. ,Öznel,,"Ay, Dünya etrafında döner. ",Nesnel
O filmin temposu fazlasıyla yavaştı. ,Öznel,,Türkiye'nin komşularından biri Yunanistan’dır. ,Nesnel
Yeni çıkan oyunun grafikleri hayal kırıklığı yarattı. ,Öznel,,1 yıl 365 gündür (artık yıllar hariç). ,Nesnel
Şu anda kendimi çok huzurlu hissediyorum. ,Öznel,,Su donma noktasında katı hale geçer. ,Nesnel
O sunum fazlasıyla aceleye getirilmişti. ,Öznel,,"Rüzgar, hava hareketleriyle oluşur. ",Nesnel
Bu çorbanın tadı bana annemi hatırlattı. ,Öznel,,Telefonlar elektrikle çalışır. ,Nesnel
Onun tarzı bana göre fazla gösterişli. ,Öznel,,Dünya'nın en derin yeri Mariana Çukuru’dur. ,Nesnel
Bu rengin tonu çok iç karartıcı. ,Öznel,,İnsanlarda 32 diş bulunur (yetişkin bireyde). ,Nesnel
Bu odaya farklı bir perde daha çok yakışırdı. ,Öznel,,"Göz, ışığı algılayan bir organdır. ",Nesnel
Bu yazarın dili çok akıcı. ,Öznel,,"Buz, sudan daha az yoğundur ve bu yüzden yüzer. ",Nesnel
O köyde yaşamak insana büyük bir dinginlik verir. ,Öznel,,Türkiye’nin resmi dili Türkçedir. ,Nesnel
Konuşması oldukça etkileyiciydi. ,Öznel,,Yağmur damlaları bulutlardan düşer. ,Nesnel
Yeni albüm pek özgün değil bence. ,Öznel,,İstanbul Boğazı Karadeniz’i Marmara Denizi’ne bağlar. ,Nesnel
Bu filmi izlerken zamanın nasıl geçtiğini anlamadım. ,Öznel,,Vücuttaki en uzun kemik uyluk kemiğidir. ,Nesnel
Öğle yemeği için seçtiğimiz yer oldukça keyifliydi. ,Öznel,,"Yıldırım, bulutlar arasındaki elektrik boşalmasıdır. ",Nesnel
Bence bu sınav çok kolay hazırlanmış. ,Öznel,,Bitkiler güneş ışığıyla besin üretir. ,Nesnel
Bu model göze hitap etmiyor. ,Öznel,,"Kalp, kanı vücuda pompalayan bir organdır. ",Nesnel
Yeni müfredat fazla karmaşık olmuş. ,Öznel,,"1 litre, 1000 mililitreye eşittir. ",Nesnel
Gün batımını izlemek insana iyi geliyor. ,Öznel,,Türkiye Avrupa Konseyi'ne üyedir. ,Nesnel
Sınavdan düşük not alınca çok üzülmüştüm. ,Öznel,,Oksijen renksiz ve kokusuz bir gazdır. ,Nesnel
Yaz aylarında şehir çok çekilmez hale geliyor. ,Öznel,,Öğrenciler genellikle hafta içi okula gider. ,Nesnel
Bu sandalyeler oldukça rahatsız. ,Öznel,,Kediler hem etçil hem de avcı hayvanlardır. ,Nesnel
Yeni çıkan kitabı pek beğenmedim. ,Öznel,,"İnsanlar oksijen solur, karbondioksit verir. ",Nesnel
Filmdeki diyaloglar oldukça yapaydı. ,Öznel,,Ay’da su buharı bulunmaz. ,Nesnel
Onun yaptığı kekin tadı mükemmeldi. ,Öznel,,1 düzine 12 adettir. ,Nesnel
Bugünkü ders bana çok sıkıcı geldi. ,Öznel,,Güneş bir yıldızdır. ,Nesnel
Kalabalık ortamlardan hiç hoşlanmam. ,Öznel,,"Türkiye, NATO üyesi bir ülkedir. ",Nesnel
Bu parkta yürümek bana terapi gibi geliyor. ,Öznel,,Lise eğitimi Türkiye’de 4 yıldır. ,Nesnel
Şu ayakkabılar çok kaba duruyor. ,Öznel,,Ay tutulması Dünya’nın Ay ile Güneş arasına girmesiyle olur. ,Nesnel
Kitabın sonunda ağladım. ,Öznel,,Bir hafta 7 gündür. ,Nesnel
Bu sorular gereğinden fazla uzatılmış. ,Öznel,,"Okyanuslar, Dünya yüzeyinin %70’ini kaplar. ",Nesnel
Onun bakışları çok samimiydi. ,Öznel,,İnsan kulağı 20 Hz ile 20.000 Hz arası sesleri duyabilir. ,Nesnel
Tatilin kısa sürmesi çok moral bozucu. ,Öznel,,İlkbaharda çiçekler açar. ,Nesnel
Bu sınıf çok havasız. ,Öznel,,"Müzik notaları A, B, C, D, E, F, G harfleriyle gösterilir. ",Nesnel
Bu uygulamanın arayüzü çok karmaşık. ,Öznel,,Ağaçlar kökleriyle topraktan su alır. ,Nesnel
Yeni çıkan telefonun fiyatı gereksiz pahalı. ,Öznel,,Suyun kimyasal formülü H₂O’dur. ,Nesnel
O dondurma markası diğerlerine göre daha lezzetli. ,Öznel,,"Türkiye, Karadeniz'e kıyısı olan ülkelerden biridir. ",Nesnel
Bu sabah içtiğim çay bayattı. ,Öznel,,"Güneş ışığı, beyaz ışık olarak bilinir. ",Nesnel
Şu çiçeklerin kokusu insanı mest ediyor. ,Öznel,,Her yıl 1 Ocak’ta yeni yıl kutlanır. ,Nesnel
Onun fikirleri bana çok mantıklı gelmiyor. ,Öznel,,Türkiye 2023 yılında 100. yılını kutlamıştır. ,Nesnel
Bu bilgisayarda çalışmak oldukça yorucu. ,Öznel,,Gözle görülebilen ışık tayfı 400-700 nm arasındadır. ,Nesnel
Yalnız kalmak bazen çok rahatlatıcı oluyor. ,Öznel,,"Ses, bir enerji türüdür. ",Nesnel
Bu kitaplık odaya hiç uymamış. ,Öznel,,Trenler raylar üzerinde hareket eder. ,Nesnel
Bu kadro ile başarı gelmez gibi görünüyor. ,Öznel,,Bakteriler mikroskobik canlılardır. ,Nesnel
     112-  Bu tatil tam anlamıyla harikaydı. ,Öznel,,Balıklar solungaçlarıyla nefes alır. ,Nesnel
Bu sabah kahve içmeden güne başlayamadım. ,Öznel,,Güneşten gelen UV ışınları zararlı olabilir. ,Nesnel
O konuşma bana çok yapmacık geldi. ,Öznel,,Dünya'nın dönüşü gece ve gündüzü oluşturur. ,Nesnel
Bu tarz şarkılar artık bana hitap etmiyor. ,Öznel,,Türkiye’nin yüzölçümü yaklaşık 783.000 km²’dir. ,Nesnel
Kırmızı rengi kıyafetlerde hiç sevmem. ,Öznel,,Ay yılda yaklaşık 12 kez dolunay evresine girer. ,Nesnel
Film beklediğimden çok daha sürükleyiciydi. ,Öznel,,Yer çekimi Dünya’da ortalama 9.8 m/s²’dir. ,Nesnel
Burası fotoğraf çekmek için harika bir yer. ,Öznel,,"Elektrik, iletkenler aracılığıyla taşınır. ",Nesnel
Onun davranışları bana pek samimi gelmedi. ,Öznel,,DNA çift sarmallı bir yapıya sahiptir. ,Nesnel
Yeni öğretmen biraz fazla ciddi biri. ,Öznel,,Türkiye’de araçlar sağdan gider. ,Nesnel
Bu müzeyi gezmek oldukça keyifliydi. ,Öznel,,Bitkiler ışık olmadan fotosentez yapamaz. ,Nesnel
Sunumdaki görseller çok göz yorucuydu. ,Öznel,,"Demir, manyetik bir elementtir. ",Nesnel
O yemek tarifini uygulamak çok zahmetliydi. ,Öznel,,İstanbul’da iki kıta birbirine köprülerle bağlanır. ,Nesnel
Kitabın başları güzel ama sonu yavan kaldı. ,Öznel,,"Hava, azot ve oksijen karışımından oluşur. ",Nesnel
Tatilin kısa sürmesi gerçekten üzücüydü. ,Öznel,,Müzik notaları yedi temel harfle adlandırılır. ,Nesnel
Yeni gelen çocuk biraz fazla gürültücü. ,Öznel,,Türkiye'nin en yüksek dağı Ağrı Dağı’dır. ,Nesnel
Bu kamp alanı huzur veriyor. ,Öznel,,Isı arttıkça çoğu metal genleşir. ,Nesnel
Filmdeki karakter çok yapmacıktı. ,Öznel,,"Bilgisayar, giriş ve çıkış birimleriyle çalışır. ",Nesnel
Bu yemeğe biraz daha tuz konmalıydı. ,Öznel,,Türkiye’de seçimler 5 yılda bir yapılır. ,Nesnel
Gün doğumunu izlemek beni mutlu ediyor. ,Öznel,,Ağaçlar yıl boyunca büyümeye devam eder. ,Nesnel
Onun fikri bana çok uçuk geldi. ,Öznel,,Dünya’nın dönüşü yönü batıdan doğuyadır. ,Nesnel
Bugün çok bunalmış hissediyorum. ,Öznel,,"Göz, retina tabakasıyla görmeyi sağlar. ",Nesnel
Bu proje gereksiz karmaşık olmuş. ,Öznel,,Matematikte asal sayılar yalnızca bire ve kendine bölünür. ,Nesnel
Yeni kıyafet koleksiyonu oldukça sıradan. ,Öznel,,Dalgalar sesin iletimini sağlar. ,Nesnel
Bu konu gereğinden fazla uzatıldı. ,Öznel,,Türkiye’de 7 coğrafi bölge bulunur. ,Nesnel
Bu tarz mobilyalar fazla gösterişli. ,Öznel,,"Bir kilogram, 2.20462 pound’dur. ",Nesnel
Bahar ayları bana hep huzur verir. ,Öznel,,Güneş Sistemi’nin en küçük gezegeni Merkür’dür. ,Nesnel
Kitabın dili fazla süslüydü. ,Öznel,,Dünya’nın eksen eğikliği 23.5°'dir. ,Nesnel
Onun yaptığı yorum oldukça kırıcıydı. ,Öznel,,Ses dalgaları boşlukta yayılmaz. ,Nesnel
Çayın dem oranı bana göre zayıftı. ,Öznel,,İnsan beyninde yaklaşık 86 milyar nöron bulunur. ,Nesnel
Bu defterin kağıdı çok kaliteli hissettirdi. ,Öznel,,Su buharlaşınca gaz haline geçer. ,Nesnel
Kaldığımız otel çok boğucuydu. ,Öznel,,Dünya’nın en uzun nehri Nil Nehri’dir. ,Nesnel
Bu saç modeli hiç ona göre değil. ,Öznel,,"Karasal iklimde yazlar sıcak, kışlar soğuktur. ",Nesnel
Sohbet çok uzadığı için sıkıldım. ,Öznel,,Türkiye’nin doğusunda karasal iklim hâkimdir. ,Nesnel
Filmde bazı sahneler çok gereksizdi. ,Öznel,,Radyolar elektromanyetik dalgalarla çalışır. ,Nesnel
Yeni aldığım çanta oldukça kullanışsız. ,Öznel,,Bilimsel adım “hipotez kurmak” ile başlar. ,Nesnel
Şu tablo odanın havasını bozmuş. ,Öznel,,60 saniye 1 dakikaya eşittir. ,Nesnel
Bugünkü ders çok yorucuydu. ,Öznel,,Türkiye 1923’te cumhuriyet olmuştur. ,Nesnel
Kütüphane ortamı bana çok iyi geliyor. ,Öznel,,Yıldızlar hidrojen füzyonu ile enerji üretir. ,Nesnel
O öğretmenin yöntemi bana fazla eski tarz geliyor. ,Öznel,,Deniz seviyesinde atmosfer basıncı 1 atm’dir. ,Nesnel
Yeni tanıştığımız çocuk çok sıcak kanlıydı. ,Öznel,,Türkiye'nin nüfusu 2024’te 85 milyonu geçmiştir. ,Nesnel
Bu şarkının sözleri biraz anlamsız geldi. ,Öznel,,İnternet veri paketleriyle çalışır. ,Nesnel
Bu uygulamanın tasarımı hiç kullanıcı dostu değil. ,Öznel,,Elektronlar atomun çevresinde döner. ,Nesnel
Dizi finali beklediğim gibi olmadı. ,Öznel,,"Dünya, Güneş’in etrafında 365 gün 6 saatte döner. ",Nesnel
Bu konuda fikir beyan etmek zor. ,Öznel,,Lise mezuniyeti için 4 yıl eğitim alınır. ,Nesnel
Yaz tatilinde evde oturmak zaman kaybı. ,Öznel,,Vücuttaki kan sürekli dolaşım halindedir. ,Nesnel
Yeni alınan masa odaya hiç uymadı. ,Öznel,,Güneş ışınları ozon tabakası tarafından süzülür. ,Nesnel
Bugünkü toplantı gereksiz uzadı. ,Öznel,,Termometre sıcaklık ölçer. ,Nesnel
Tatlı fazla şekerli olduğu için yiyemedim. ,Öznel,,İnsan vücudunun %60'ı sudur. ,Nesnel
Telefonun arayüzü bana karmaşık geldi. ,Öznel,,Bakteriler mikroskobik canlı organizmalardır. ,Nesnel
O konuşmanın tonu fazla sertti. ,Öznel,,Bir daire 360°’dir. ,Nesnel
 Bu tasarım gözüme çok da hoş görünmedi. ,Öznel,,Dünyada 7 kıta vardır. ,Nesnel
Bu sabah uyanmak gerçekten çok zordu. ,Öznel,,Çoğu elektronik cihaz batarya ile çalışır. ,Nesnel
Onun yazı stili bana çok sıkıcı geliyor. ,Öznel,,Cam saydam bir maddedir. ,Nesnel
Tatilin bitmesine inanılmaz üzüldüm. ,Öznel,,"Dünya, kendi ekseni etrafında 24 saatte döner. ",Nesnel
Bu otelin dekorasyonu fazla abartılı. ,Öznel,,"Su, 0°C'de donar. ",Nesnel
Galatasaray çok iyi bir takım,Öznel,,Türkiye’nin başkenti Ankara’dır. ,Nesnel
Yeni dizinin konusu bence çok klişe. ,Öznel,,İnsan kalbinde dört odacık bulunur. ,Nesnel
 Adanaspor çok güçlü bir kulüp,Öznel,,Elektronlar negatif yüklüdür. ,Nesnel
Kahvenin kokusu bana çocukluğumu hatırlatıyor. ,Öznel,,"Dünya, Güneş etrafında dönerken elips yörünge çizer. ",Nesnel
 Kumral kızlar esmerlere göre daha güzel,Öznel,,"Karadeniz, Türkiye’nin kuzeyinde yer alır. ",Nesnel
O gün hava ne kadar güzeldi! ,Öznel,,Cam ısı iletkenliği düşük bir maddedir. ,Nesnel
 Hava bugün çok güneşli,Öznel,,"DNA, nükleotid adı verilen yapı taşlarından oluşur. ",Nesnel
Bu pantolon modeli hiç hoşuma gitmedi. ,Öznel,,1 saat 60 dakikadır. ,Nesnel
Onun sesi insanın içine işliyor. ,Öznel,,Güneş enerjisi yenilenebilir enerji kaynağıdır. ,Nesnel
Bu bilgisayar oyununu oynamak beni çok rahatlatıyor. ,Öznel,,Türkiye'nin para birimi Türk Lirası’dır. ,Nesnel
Kitabın kapağı daha dikkat çekici olabilirdi. ,Öznel,,Suyun kaynama noktası 100°C’dir (deniz seviyesinde). ,Nesnel
Bence bu cümle gereksiz uzatılmış. ,Öznel,,Türkiye’de ilkbahar mart ayında başlar. ,Nesnel
Bugünkü derste zaman hiç geçmedi. ,Öznel,,"Ses, titreşim yoluyla yayılır. ",Nesnel
Filmdeki oyunculuk çok yapaydı. ,Öznel,,1 yıl 12 aydan oluşur. ,Nesnel
Dondurma yemek bana hep yazı anımsatıyor. ,Öznel,,Kitapta toplam 350 sayfa bulunmaktadır. ,Nesnel
Yeni gelen kıyafetler hiç tarzım değil. ,Öznel,,İnsan iskeletinde 206 kemik vardır. ,Nesnel
Bu fotoğraf çok estetik duruyor. ,Öznel,,Göz ışığı retina tabakasıyla algılar. ,Nesnel
Şarkının melodisi bana huzur veriyor. ,Öznel,,"Türkiye, Asya ve Avrupa kıtaları üzerinde yer alır. ",Nesnel
Bu evi çok soğuk buldum. ,Öznel,,"Doğu Anadolu, Türkiye’nin en yüksek bölgesidir. ",Nesnel
O şiiri okurken gözlerim doldu. ,Öznel,,Kalem yazı yazmak için kullanılan bir araçtır. ,Nesnel
Yaz mevsimini her zaman kışa tercih ederim. ,Öznel,,En küçük asal sayı 2’dir. ,Nesnel
Bu etkinlik bana göre gereksizdi. ,Öznel,,"Elma, bir meyve türüdür. ",Nesnel
Yeni telefon fazla karmaşık. ,Öznel,,Suyun formülü H₂O’dur. ,Nesnel
Kalabalık ortamlarda çok geriliyorum. ,Öznel,,"Dünya, Güneş’e ortalama 150 milyon kilometre uzaklıktadır. ",Nesnel
Onun fikirlerini pek mantıklı bulmuyorum. ,Öznel,,Türk alfabesi 29 harften oluşur. ,Nesnel
Bu çantanın fiyatı bence aşırı. ,Öznel,,"Ay, Dünya'nın tek doğal uydusudur. ",Nesnel
Kitabın sonunda büyük bir hayal kırıklığı yaşadım. ,Öznel,,Bitkiler topraktan su ve mineral alır. ,Nesnel
Bu ayakkabılar yürümek için hiç uygun değil. ,Öznel,,Türkiye’de yaz tatili genellikle haziran ayında başlar. ,Nesnel
Derste anlatılan konular çok sıkıcıydı. ,Öznel,,"Akciğer, solunumu sağlayan organdır. ",Nesnel
Onun davranışları bana pek hoş gelmedi. ,Öznel,,Kan damarlar aracılığıyla vücutta dolaşır. ,Nesnel
Bu filmden daha fazlasını bekliyordum. ,Öznel,,"Termometre, sıcaklığı ölçmeye yarar. ",Nesnel
Bugün kendimi enerjisiz hissediyorum. ,Öznel,,Elektrik devresi kapalıysa akım geçer. ,Nesnel
Yeni çıkan şarkıyı pek beğenmedim. ,Öznel,,Türkiye’de trafik sağdan akar. ,Nesnel
Bu tatlı aşırı şekerli olmuş. ,Öznel,,Dünya üzerindeki en büyük okyanus Pasifik Okyanusu’dur. ,Nesnel
Odadaki ışık rahatsız ediciydi. ,Öznel,,Kalemle kağıda yazı yazılabilir. ,Nesnel
Konuşma oldukça duygusaldı. ,Öznel,,"Atomlar proton, nötron ve elektronlardan oluşur. ",Nesnel
Spor salonu bana göre çok gürültülüydü. ,Öznel,,"Çay, sıcak suyla demlenen bir içecektir. ",Nesnel
Bu dergi kapağı hiç ilgi çekici değil. ,Öznel,,Gözde iris rengi kişiden kişiye değişir. ,Nesnel
Yeni takımı pek umut verici bulmadım. ,Öznel,,Bilgisayarlar işlemci sayesinde veri işler. ,Nesnel
O tablo odaya bence hiç yakışmamış. ,Öznel,,"DNA, genetik bilgiyi taşır. ",Nesnel
Bu tatil köyü fazla kalabalıktı. ,Öznel,,Vücutta en büyük organ deridir. ,Nesnel
Yürüyüş yapmak zihnimi boşaltıyor. ,Öznel,,Türkiye’de 81 il bulunmaktadır. ,Nesnel
O çalan müzik bana eski günleri hatırlattı. ,Öznel,,İnsanlar dil yoluyla iletişim kurar. ,Nesnel
Bu tarz konular bana hep ilginç gelmiştir. ,Öznel,,"Güneş doğudan doğar, batıdan batar. ",Nesnel
Yeni menü çok zengin görünse de beni cezbetmedi. ,Öznel,,"Harita, coğrafi bilgileri gösteren bir çizimdir. ",Nesnel
Sunumdaki renk seçimleri gözü yoruyordu. ,Öznel,,Türkiye’de eğitim-öğretim yılı genellikle eylül ayında başlar. ,Nesnel
Bu sandalye hiç rahat değil. ,Öznel,,Ses saniyede yaklaşık 343 m yol alır (hava ortamında). ,Nesnel
Gün batımını izlemek en sevdiğim şeylerden biri. ,Öznel,,"217- Gözlük, görme kusurlarını düzeltmek için kullanılır. ",Nesnel
Bu kararı almak gerçekten çok zordu. ,Öznel,,Türkiyenin bayrağı kırmızı ve beyaz renklerini içerisinde barındırır,Nesnel
-  Yeni öğretmenin üslubu bana biraz sert geldi. ,Öznel,,Türkiye nin başkenti Ankara dır. ,Nesnel
Çikolatalı dondurma diğer dondurma çeşitlerinden daha güzel. ,Öznel,,Fen Liselerinde matematik dersi vardır. ,Nesnel
Orhan Veli’nin şiirlerindeki büyü başka şairlerde yok. ,Öznel,,Mavi ana renklerden bir tanesidir. ,Nesnel
İstanbul'un en güzel semti Kadıköy'dür. ,Öznel,,stanbul 1453 te fethedildi. ,Nesnel
Üsküdar'ın arnavut kaldırımlı sokakları şehrin en güzel sokaklarıdır. ,Öznel,,Duvarda kırmızı çizgiler vardı ,Nesnel
Mavi en güzel renktir. ,Öznel,,Gerçek anlam ve temel anlam aynı anlamdadır. ,Nesnel
Kız Kulesini seyretmeye kimse doyamaz. ,Öznel,,Okula yeni sıraların geleceği söylendi ,Nesnel
Yeşil elbise yeşil gözlü insanlara çok yakışıyor. ,Öznel,,"Şairin en son şiiri üç beyitten oluşuyor,",Nesnel
Dostluğun olmadığı yerde hiçbir değerin gelişebileceğine inanmıyorum. ,Öznel,,Osmanlı devleti fiilen sona erdirilmiştir. ,Nesnel
